RADIATION,DSOC,PV,ESS
8802.77777777778,22.9130470388446,552.5,93
8802.77777777778,15.9031187916114,552.5,186
8802.77777777778,10.5947322846516,552.5,279
8802.77777777778,7.94885158162063,552.5,372
8802.77777777778,6.35678144486786,552.5,465
8802.77777777778,5.29711917828344,552.5,558
8802.77777777778,4.54023976167115,552.5,651
8802.77777777778,3.97247960936552,552.5,744
8802.77777777778,23.5258230985762,1105,93
8802.77777777778,25.8580083169934,1105,186
8802.77777777778,26.7728642087239,1105,279
8802.77777777778,20.60576803204,1105,372
8802.77777777778,16.4836984912171,1105,465
8802.77777777778,13.7391111716587,1105,558
8802.77777777778,11.7758226623039,1105,651
8802.77777777778,10.3036416906365,1105,744
8802.77777777778,23.231791502337,1657.5,93
8802.77777777778,25.9326687509565,1657.5,186
8802.77777777778,26.849829160028,1657.5,279
8802.77777777778,27.2351020075496,1657.5,372
8802.77777777778,23.6543031500257,1657.5,465
8802.77777777778,19.7097823844035,1657.5,558
8802.77777777778,16.8959510407522,1657.5,651
8802.77777777778,14.786399531187,1657.5,744
8802.77777777778,23.5032901292161,2210,93
8802.77777777778,26.0092660051303,2210,186
8802.77777777778,26.8265380188578,2210,279
8802.77777777778,27.2562666506955,2210,372
8802.77777777778,27.4708724196683,2210,465
8802.77777777778,23.2541544921581,2210,558
8802.77777777778,19.9344925348081,2210,651
8802.77777777778,17.4449672566402,2210,744
8802.77777777778,23.4519025600095,2762.5,93
8802.77777777778,26.0491123964888,2762.5,186
8802.77777777778,26.9451122786325,2762.5,279
8802.77777777778,27.3985222051707,2762.5,372
8802.77777777778,27.5955974063031,2762.5,465
8802.77777777778,25.5992121591298,2762.5,558
8802.77777777778,21.9426859969805,2762.5,651
8802.77777777778,19.2013379786583,2762.5,744
8802.77777777778,23.9035795143155,3315,93
8802.77777777778,26.0842877412207,3315,186
8802.77777777778,26.8342405936781,3315,279
8802.77777777778,27.2268684433637,3315,372
8802.77777777778,27.4838193260702,3315,465
8802.77777777778,27.279555601963,3315,558
8802.77777777778,23.3801390517097,3315,651
