RADIATION,DSOC,PV,ESS
8802.77777777778,20.4595599311111,3315,744
8802.77777777778,23.4868499617365,3867.5,93
8802.77777777778,25.9553549337267,3867.5,186
8802.77777777778,26.8215447169512,3867.5,279
8802.77777777778,27.3150458064869,3867.5,372
8802.77777777778,27.6210429819829,3867.5,465
8802.77777777778,27.6976014321292,3867.5,558
8802.77777777778,24.465322623092,3867.5,651
8802.77777777778,21.4100776112711,3867.5,744
8802.77777777778,23.3653654565777,4420,93
8802.77777777778,25.9995670457199,4420,186
8802.77777777778,26.9785419166099,4420,279
8802.77777777778,27.3435604440081,4420,372
8802.77777777778,27.5313133468963,4420,465
8802.77777777778,27.6906895147011,4420,558
8802.77777777778,25.3207353933443,4420,651
8802.77777777778,22.1580339123877,4420,744
3328.72743251454,0.21842690425477,552.5,93
3328.72743251454,0.107042311143644,552.5,186
3328.72743251454,0.075073731456826,552.5,279
3328.72743251454,0.055829855336668,552.5,372
3328.72743251454,0.043447675674059,552.5,465
3328.72743251454,0.036423570789282,552.5,558
3328.72743251454,0.032291905018781,552.5,651
3328.72743251454,0.028552218175548,552.5,744
3328.72743251454,20.4808435833263,1105,93
3328.72743251454,10.2050734704029,1105,186
3328.72743251454,6.80084837492916,1105,279
3328.72743251454,5.09967922109134,1105,372
3328.72743251454,4.07954895335556,1105,465
3328.72743251454,3.40164992138982,1105,558
3328.72743251454,2.91382890194251,1105,651
3328.72743251454,2.54966951833886,1105,744
3328.72743251454,21.89718144299,1657.5,93
3328.72743251454,20.2224043103054,1657.5,186
3328.72743251454,13.4779349511045,1657.5,279
3328.72743251454,10.1078369830946,1657.5,372
3328.72743251454,8.08320224006881,1657.5,465
3328.72743251454,6.73702858708221,1657.5,558
3328.72743251454,5.77419777143824,1657.5,651
3328.72743251454,5.05131133059764,1657.5,744
3328.72743251454,21.785500309086,2210,93
3328.72743251454,25.0296933349937,2210,186
3328.72743251454,19.6618776238484,2210,279
3328.72743251454,14.747190086839,2210,372
3328.72743251454,11.7984173262037,2210,465
3328.72743251454,9.83329913262421,2210,558
3328.72743251454,8.42596565584863,2210,651
3328.72743251454,7.37487391336076,2210,744
3328.72743251454,21.8575018684449,2762.5,93
3328.72743251454,25.1097557311936,2762.5,186
3328.72743251454,24.5288827230864,2762.5,279
3328.72743251454,18.3891145607316,2762.5,372
3328.72743251454,14.7139458916564,2762.5,465
3328.72743251454,12.2619431090674,2762.5,558
3328.72743251454,10.5088539318831,2762.5,651
3328.72743251454,9.19580155104104,2762.5,744
3328.72743251454,21.6581646176231,3315,93
3328.72743251454,25.1293837592014,3315,186
3328.72743251454,26.3500771275333,3315,279
3328.72743251454,21.040434719284,3315,372
3328.72743251454,16.8316798011148,3315,465
3328.72743251454,14.0302529097199,3315,558
3328.72743251454,12.0261745661357,3315,651
3328.72743251454,10.5242674299159,3315,744
3328.72743251454,21.7192664804955,3867.5,93
3328.72743251454,25.1417084380167,3867.5,186
3328.72743251454,26.2438381395774,3867.5,279
3328.72743251454,22.9967265069771,3867.5,372
3328.72743251454,18.4004669615093,3867.5,465
3328.72743251454,15.3350760701039,3867.5,558
3328.72743251454,13.145862346021,3867.5,651
3328.72743251454,11.5035486428723,3867.5,744
3328.72743251454,22.1074089214916,4420,93
3328.72743251454,25.3889988543365,4420,186
3328.72743251454,26.4251398086732,4420,279
3328.72743251454,24.4954336334372,4420,372
3328.72743251454,19.5943836078553,4420,465
3328.72743251454,16.3330295559336,4420,558
3328.72743251454,14.002377807791,4420,651
3328.72743251454,12.2525218254005,4420,744
2891.66666666667,-2.75488713779887,552.5,93
2891.66666666667,-1.37516143456449,552.5,186
2891.66666666667,-0.913462181403162,552.5,279
2891.66666666667,-0.688524902526439,552.5,372
2891.66666666667,-0.550910379719639,552.5,465
2891.66666666667,-0.458717896079975,552.5,558
2891.66666666667,-0.393164365350174,552.5,651
2891.66666666667,-0.3429690613562,552.5,744
2891.66666666667,14.4929287973511,1105,93
2891.66666666667,7.23753096910411,1105,186
2891.66666666667,4.82225111195515,1105,279
2891.66666666667,3.61610649096298,1105,372
2891.66666666667,2.89178849053741,1105,465
2891.66666666667,2.40858730126672,1105,558
2891.66666666667,2.06496034920147,1105,651
2891.66666666667,1.80757673359486,1105,744
2891.66666666667,21.7632277153421,1657.5,93
2891.66666666667,15.786006626775,1657.5,186
2891.66666666667,10.52233447022,1657.5,279
2891.66666666667,7.89046294379763,1657.5,372
2891.66666666667,6.31425335634769,1657.5,465
2891.66666666667,5.2617158470663,1657.5,558
2891.66666666667,4.507981499423,1657.5,651
2891.66666666667,3.94430271900956,1657.5,744
2891.66666666667,21.4722138866678,2210,93
2891.66666666667,23.8562921175693,2210,186
2891.66666666667,15.8838365523338,2210,279
2891.66666666667,11.9139382796687,2210,372
2891.66666666667,9.52970850281004,2210,465
2891.66666666667,7.94276366888766,2210,558
2891.66666666667,6.80675060271226,2210,651
2891.66666666667,5.95645642661975,2210,744
2891.66666666667,21.9253386536733,2762.5,93
2891.66666666667,25.241534969951,2762.5,186
2891.66666666667,20.115809462718,2762.5,279
2891.66666666667,15.0897417188279,2762.5,372
2891.66666666667,12.0700732223871,2762.5,465
2891.66666666667,10.0594224938694,2762.5,558
2891.66666666667,8.62330410095022,2762.5,651
2891.66666666667,7.54511893979704,2762.5,744
2891.66666666667,21.6850740418174,3315,93
2891.66666666667,25.0889806175463,3315,186
2891.66666666667,23.2248878436102,3315,279
2891.66666666667,17.4151475804609,3315,372
2891.66666666667,13.936273260881,3315,465
2891.66666666667,11.6143955398872,3315,558
2891.66666666667,9.95647541227834,3315,651
2891.66666666667,8.71216706968536,3315,744
2891.66666666667,22.316130038665,3867.5,93
2891.66666666667,25.4280096469465,3867.5,186
2891.66666666667,25.6452795998495,3867.5,279
2891.66666666667,19.2151447009968,3867.5,372
2891.66666666667,15.3757157571023,3867.5,465
2891.66666666667,12.8137739450097,3867.5,558
2891.66666666667,10.985375259835,3867.5,651
2891.66666666667,9.61233248714936,3867.5,744
2891.66666666667,21.8015338207918,4420,93
2891.66666666667,25.1528975319994,4420,186
2891.66666666667,26.4216906344312,4420,279
2891.66666666667,20.667618259198,4420,372
2891.66666666667,16.537308192573,4420,465
2891.66666666667,13.7828298051656,4420,558
2891.66666666667,11.815745915566,4420,651
2891.66666666667,10.3401163183807,4420,744
94.4444444444444,-18.8569877562756,552.5,93
94.4444444444444,-9.41943763543758,552.5,186
94.4444444444444,-6.28213133631348,552.5,279
94.4444444444444,-4.7067027871889,552.5,372
94.4444444444444,-3.76582854014532,552.5,465
94.4444444444444,-3.13928132892624,552.5,558
94.4444444444444,-2.691081720261,552.5,651
94.4444444444444,-2.35366583182675,552.5,744
94.4444444444444,-18.434875825229,1105,93
94.4444444444444,-9.20994682280619,1105,186
94.4444444444444,-6.13956019264173,1105,279
94.4444444444444,-4.60349817604484,1105,372
94.4444444444444,-3.68124816404361,1105,465
94.4444444444444,-3.06746468849005,1105,558
94.4444444444444,-2.63037689084412,1105,651
94.4444444444444,-2.30028970800917,1105,744
94.4444444444444,-17.899121530052,1657.5,93
94.4444444444444,-8.94224487064866,1657.5,186
94.4444444444444,-5.95753719510564,1657.5,279
94.4444444444444,-4.46628808569152,1657.5,372
94.4444444444444,-3.57581915630819,1657.5,465
94.4444444444444,-2.97715791517348,1657.5,558
94.4444444444444,-2.55158117070617,1657.5,651
94.4444444444444,-2.23232564225098,1657.5,744
94.4444444444444,-17.3488710274418,2210,93
94.4444444444444,-8.66211268684953,2210,186
94.4444444444444,-5.77629178463457,2210,279
94.4444444444444,-4.32966617042992,2210,372
94.4444444444444,-3.46381649308807,2210,465
94.4444444444444,-2.88787875264977,2210,558
94.4444444444444,-2.47495215668775,2210,651
94.4444444444444,-2.16482509782233,2210,744
94.4444444444444,-16.7866811874672,2762.5,93
94.4444444444444,-8.38252185265962,2762.5,186
94.4444444444444,-5.5883212037229,2762.5,279
94.4444444444444,-4.1900070311542,2762.5,372
94.4444444444444,-3.352025658698,2762.5,465
94.4444444444444,-2.79306934672219,2762.5,558
94.4444444444444,-2.39451157219177,2762.5,651
94.4444444444444,-2.09518311965874,2762.5,744
94.4444444444444,-16.2217204210957,3315,93
94.4444444444444,-8.1109382224092,3315,186
94.4444444444444,-5.40331799270963,3315,279
94.4444444444444,-4.05372156598421,3315,372
94.4444444444444,-3.24002256809652,3315,465
94.4444444444444,-2.69948403875895,3315,558
94.4444444444444,-2.3148754168878,3315,651
94.4444444444444,-2.02545627102789,3315,744
94.4444444444444,-15.66302966113,3867.5,93
94.4444444444444,-7.82338912745935,3867.5,186
94.4444444444444,-5.2145694848591,3867.5,279
94.4444444444444,-3.91046718956116,3867.5,372
94.4444444444444,-3.12975964264379,3867.5,465
94.4444444444444,-2.60597560341635,3867.5,558
94.4444444444444,-2.236150274355,3867.5,651
94.4444444444444,-1.95458838313641,3867.5,744
94.4444444444444,-15.1094237680662,4420,93
94.4444444444444,-7.55044219526052,4420,186
94.4444444444444,-5.03076500357263,4420,279
94.4444444444444,-3.77330847199822,4420,372
94.4444444444444,-3.01513919577566,4420,465
94.4444444444444,-2.51471569944761,4420,558
94.4444444444444,-2.15590560604676,4420,651
94.4444444444444,-1.88519155146336,4420,744
